n_teams_remaining,n_players_remaining,n_kills,tr_reference_file,pr_reference_file,k_reference_file,record_timestamp,og_screenshot,top_left,game_number,starting_game,in_lobby,is_loading_screen,leave_game_menu,streamer
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000000pr.jpg,media/stable_numbers/number_crops/loop_0000000k.jpg,2020-09-13 03:16:27.228866,media/stable_numbers/og_screenshots/loop_0000000.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000001pr.jpg,media/stable_numbers/number_crops/loop_0000001k.jpg,2020-09-13 03:16:27.487966,media/stable_numbers/og_screenshots/loop_0000001.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000002pr.jpg,media/stable_numbers/number_crops/loop_0000002k.jpg,2020-09-13 03:16:27.701552,media/stable_numbers/og_screenshots/loop_0000002.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000003pr.jpg,media/stable_numbers/number_crops/loop_0000003k.jpg,2020-09-13 03:16:27.895413,media/stable_numbers/og_screenshots/loop_0000003.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000004pr.jpg,media/stable_numbers/number_crops/loop_0000004k.jpg,2020-09-13 03:16:28.067128,media/stable_numbers/og_screenshots/loop_0000004.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000005pr.jpg,media/stable_numbers/number_crops/loop_0000005k.jpg,2020-09-13 03:16:28.250135,media/stable_numbers/og_screenshots/loop_0000005.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000006pr.jpg,media/stable_numbers/number_crops/loop_0000006k.jpg,2020-09-13 03:16:28.432453,media/stable_numbers/og_screenshots/loop_0000006.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000007pr.jpg,media/stable_numbers/number_crops/loop_0000007k.jpg,2020-09-13 03:16:28.607198,media/stable_numbers/og_screenshots/loop_0000007.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000008pr.jpg,media/stable_numbers/number_crops/loop_0000008k.jpg,2020-09-13 03:16:28.793518,media/stable_numbers/og_screenshots/loop_0000008.jpg,"(229, 30)",,,,,,
,20.0,10.0,,media/stable_numbers/number_crops/loop_0000009pr.jpg,media/stable_numbers/number_crops/loop_0000009k.jpg,2020-09-13 03:16:28.938832,media/stable_numbers/og_screenshots/loop_0000009.jpg,"(229, 30)",,,,,,
